fecha,codigo_factura,mnt_total_a_pagar,cant_items,familia,categoria,subcategoria,codigo_producto,cantidad_vendida,venta_bruta_producto,venta_neta_producto
2021-12-01,782567354,25570.0,3,Aseo,Aseo Hogar,Limpiadores Y Desinfectantes,12000678.0,1.0,2090.0,2090.0
2021-12-01,782567354,25570.0,3,Aseo,Cuidado Personal,Cremas Corporales,12002821.0,1.0,7490.0,6294.0
2021-12-01,782567354,25570.0,3,Mascotas,Mascotas,Arenas,12000556.0,1.0,15990.0,13437.0
2021-12-01,781937329,17920.0,4,Alimentos Sal,Salsas Y Aderezos,Básicas,12000266.0,1.0,2490.0,2092.0
2021-12-01,781937329,17920.0,4,Bebidas,Bebidas Líquidas,Gasificadas,12000378.0,1.0,1990.0,1672.0
2021-12-01,781937329,17920.0,4,Aseo,Aseo Personal,Tissue,12004088.0,1.0,11650.0,9790.0
2021-12-01,781937329,17920.0,4,Aseo,Aseo Hogar,Guantes,12000218.0,1.0,1790.0,1790.0
2021-12-01,794138730,1580.0,2,Bebidas,Bebidas Líquidas,Aguas,12000403.0,2.0,1580.0,1580.0
2021-12-01,781617489,9370.0,3,Alimentos Sal,Pasabocas,Familiar,12000282.0,1.0,1890.0,1588.0
2021-12-01,781617489,9370.0,3,Alimentos Sal,Salsas Y Aderezos,Básicas,12000266.0,1.0,2490.0,2092.0
2021-12-01,781617489,9370.0,3,Refrigerados,Lácteos,Quesos Varios,12000522.0,1.0,4990.0,4193.0
2021-12-01,776274521,8340.0,2,Aseo,Aseo Hogar,Jabones En Barra,12000425.0,1.0,3990.0,3990.0
2021-12-01,776274521,8340.0,2,Aseo,Aseo Personal,Jabonería,12000219.0,1.0,4350.0,4350.0
2021-12-01,780397476,2370.0,3,Refrigerados,Lácteos,Bebidas Lácteas,12000064.0,3.0,2370.0,1992.0
2021-12-01,776274268,1990.0,1,Aseo,Aseo Hogar,Cuidado De Prendas,12000129.0,1.0,1990.0,1990.0
2021-12-01,786293008,1790.0,1,Aseo,Aseo Hogar,Lavaplatos,12000231.0,1.0,1790.0,1790.0
2021-12-01,783156798,17880.0,2,Mascotas,Mascotas,Arenas,12000556.0,1.0,15990.0,13437.0
2021-12-01,783156798,17880.0,2,Alimentos Sal,Pasabocas,Familiar,12000282.0,1.0,1890.0,1588.0
2021-12-01,777775850,9540.0,2,Congelados,Carne No Procesada,Pollo,12001289.0,1.0,7690.0,7690.0
2021-12-01,777775850,9540.0,2,Aseo,Aseo Hogar,Pisos,12000090.0,1.0,1850.0,1850.0
2021-12-01,794337760,50470.0,20,Congelados,Carne No Procesada,Pollo,12001283.0,1.0,6690.0,6690.0
2021-12-01,794337760,50470.0,20,Alimentos Sal,"Cereales, Harinas Y Premezclas",Pasta Corta,12000067.0,3.0,2970.0,2829.0
